date,Strategy Return
2017-11-01,0.0013712580679423562
2017-11-02,0.0030153496240784114
2017-11-03,0.006222072874301932
2017-11-06,0.0029732291181289445
2017-11-07,0.0026453437466175426
2017-11-08,-0.0008159178737713181
2017-11-09,-0.00875849359222315
2017-11-10,0.004343582149126088
2017-11-13,0.0028417388386513085
2017-11-14,0.0019119956901207337
2017-11-15,-0.00672732345241359
2017-11-16,0.013626412579879713
2017-11-17,-0.00407862028985836
2017-11-20,0.0035552300152076775
2017-11-21,0.009550204583379792
2017-11-22,-0.0018467339016543453
2017-11-24,0.0037209855898116292
2017-11-27,-0.0013891848903303705
2017-11-28,0.005897570196323569
2017-11-29,-0.010666134381153106
2017-11-30,0.012047652294119892
2017-12-01,-0.00702781224404922
2017-12-04,0.001260739775644165
2017-12-05,-0.0037415475275466557
2017-12-06,-0.0005665878949538031
2017-12-07,0.005869562481643346
2017-12-08,0.006748246930177221
2017-12-11,-0.00150192365097196
2017-12-12,0.0030147987995641835
2017-12-13,0.004750866339851495
2017-12-14,-0.006143517423020474
2017-12-15,0.006340368512442932
2017-12-18,0.009676011273752411
2017-12-19,-0.0006899831413982296
2017-12-20,0.001159629670389541
2017-12-21,-0.002595212021008584
2017-12-22,0.0008851934032746477
2017-12-26,0.0013952056934557304
2017-12-27,0.0028256765180405567
2017-12-28,0.0029126080258136846
2017-12-29,-0.006029112623694407
2018-01-02,-0.0006086644718697755
2018-01-03,0.003136212472261715
2018-01-04,0.001612739593368848
2018-01-05,0.00518412183060686
2018-01-08,0.001885444769855666
2018-01-09,0.005088823280486996
2018-01-10,-0.0007619948072189489
2018-01-11,0.011841333839718209
2018-01-12,0.009921441059308849
2018-01-16,-0.0022875174539081387
2018-01-17,0.016964695002001564
2018-01-18,-0.003328279883421244
2018-01-19,0.009418254074778937
2018-01-22,0.015087973938066275
2018-01-23,0.0008697160955563932
2018-01-24,-0.003234121121112752
2018-01-25,0.001197632234661355
2018-01-26,-0.0032394662565321296
2018-01-29,-0.014387000267515116
2018-01-30,-0.0034189062958978004
2018-01-31,-1.311587707133327e-06
2018-02-01,-0.007029142248740853
2018-02-02,-0.01804751205951714
2018-02-05,-0.04159847008953529
2018-02-06,0.01724994402466896
2018-02-07,0.0019324300560755725
2018-02-08,-0.038506349116068345
2018-02-09,0.014435874846039731
2018-02-12,0.0125608638343498
2018-02-13,0.0050261072621405195
2018-02-14,0.014689783865297857
2018-02-15,0.014075879684340648
2018-02-16,-0.00023178510714585467
2018-02-20,-0.007630309278300008
2018-02-21,-0.0031488787738010926
2018-02-22,0.0023972505111523545
2018-02-23,0.010257237198078396
2018-02-26,0.006667162071734883
2018-02-27,-0.008803075013243115
2018-02-28,-0.005014950941211401
2018-03-01,-0.012671151423894151
2018-03-02,0.010835988838050554
2018-03-05,0.017756541670853217
2018-03-06,0.0069952121698870495
2018-03-07,0.0021431708381896607
2018-03-08,0.0013411344390261957
2018-03-09,0.016519554354292986
2018-03-12,-0.002256463357644978
2018-03-13,-0.007865742300594792
2018-03-14,-0.0016434015351802986
2018-03-15,-0.0006705213642219101
2018-03-16,0.00268946718146687
2018-03-19,-0.008627841058347742
2018-03-20,0.012860727426723124
2018-03-21,-0.006049903690657317
2018-03-22,-0.027072197166212116
2018-03-23,-0.020528492492070317
2018-03-26,0.035963020576653786
2018-03-27,-0.03369570610422651
2018-03-28,-0.02066664410315936
2018-03-29,0.019301439658777654
2018-04-02,-0.017114268426245915
2018-04-03,0.010781817172766772
2018-04-04,0.00707792034023913
2018-04-05,0.0135680333419258
2018-04-06,-0.015073395950962909
2018-04-09,-0.0004437066841700421
2018-04-10,0.00886826877419905
2018-04-11,-0.002934730849589673
2018-04-12,0.008612568160209944
2018-04-13,-0.002842533101913902
2018-04-16,0.014177721752756278
2018-04-17,0.011279331408890703
2018-04-18,0.0013067693639781663
2018-04-19,-0.010378938500041679
2018-04-20,-0.008862958632025297
2018-04-23,-0.001413405517736277
2018-04-24,-0.0022712669554400544
2018-04-25,-0.00701452600511987
2018-04-26,0.016815508906241783
2018-04-27,0.0007467657382928539
2018-04-30,-0.006441406975619346
2018-05-01,-0.0025699296957837348
2018-05-02,-0.0015814318444086362
2018-05-03,0.00025463744832679826
2018-05-04,0.00492825536261516
2018-05-07,-0.0026804477089342905
2018-05-08,0.003892440588644431
2018-05-09,0.01676072680525647
2018-05-10,0.003362706273564545
2018-05-11,0.0020030353119035687
2018-05-14,0.0021997816087350663
2018-05-15,0.004891183624157858
2018-05-16,0.00840015605057433
2018-05-17,0.020829848767993462
2018-05-18,-0.0063181596738148185
2018-05-21,0.006900214945797575
2018-05-22,-0.013320142374347897
2018-05-23,-0.0012942647511103057
2018-05-24,-0.009583010061501718
2018-05-25,-0.022939232577051626
2018-05-29,0.00013346165519667586
2018-05-30,0.019313423333811284
2018-05-31,-0.012484869507537306
2018-06-01,0.010628578632493939
2018-06-04,0.0055484483019953386
2018-06-05,-0.00021789760337329663
2018-06-06,0.0025301658947279792
2018-06-07,-0.0077358758873363334
2018-06-08,0.0011774551300446111
2018-06-11,0.0024550029136682057
2018-06-12,0.002450970690373968
2018-06-13,0.004632781825281031
2018-06-14,0.0070021158548891176
2018-06-15,-0.003991379518758058
2018-06-18,0.0024333673264723306
2018-06-19,-0.0013855054541055997
2018-06-20,0.0052522165391030145
2018-06-21,-0.010642264520272369
2018-06-22,-0.0020853078362859947
2018-06-25,-0.022855200000693965
2018-06-26,0.010298393862349018
2018-06-27,-0.010275189272915713
2018-06-28,0.003601006044637996
2018-06-29,0.007359394313855536
